DAGBANI	ENGLISH
Ka o bɔhi o, “Ka ala ka n lee yɛn yo a?”	And he asked him, "and how much am I going to pay you?"
Ka daba ala n-lee kpalim ma?	And how many days am I left with?
O ni daa paai chira ata la, o timsim daa nyɛla kilogram diba ala?	When he got three months old, how many kilograms was he?
O bɔri alabalaayi bilibu pam.	She likes inciting trouble.
Yi zaŋ yimaŋa niŋ alaha n-chani ginda.	You have made yourselves cheap and are walking around.
Alaha wɔhu bi duri zoli.	A cheap horse does not climb a hill.
Alaha buŋa bi duri zoli.	A cheap donkey does not climb a hill.
A zaŋ a niriba kɔhi alaha, a bi zali ba da’ kpiɔŋ.	You sold your people at a cheap price, you didn't set a high price for them.
O diri alahichi pam.	He sins a lot.
Zom ka a vuhiri Asibiri ni Alahiri ni saha kam zaa wumsim yi ti gbaagi a.	Be fond of resting on Saturday and Sunday and anytime you become exhausted.
Biɛɣukam ni di kalinli m-bɔŋɔ; These are the numbers on each day;
Alahiridali asibaasi wuntampuhili saha ka bɛ daa chaŋ siliga maa gbini.	On Saturday morning around sunrise was when they went to the tomb.
di daa niŋ bɛ zaa lahaʒibisi.	it amazed all of them.
Koi! Bo lahaʒibu m-m-bɔŋɔ?	Koi! What sort of wonder is this?
Motuka yiɣirigu mali lahaʒibu pam.	The Airplane is very amazing.
zaŋ zahimbunim’ minii shihira ni lahaʒibu tuma ni tɔbu.	used testings and signs and wonderful deeds, and warfare.
Ti na ʒi nya lahaʒibu tuuni ŋɔ tatabo.	We have never seen a wonderful act like this.
Ti daalahichi galisiya nyaŋ ti amaa ka a chɛ li paŋ ti.	Our sins are greater than us, but you have forgiven us.
A boli o yuli Yisa, dama o ni ti tiligi o niriba bɛ daalahichi ni.	Call his name Jesus, because he will save his people from their sins.
Dinzuɣu di yi niŋ ka nira nyo mɔɣu, ŋun bom gaafara o Duuma Naawuni sani, dama alahachi zaɣititali ka o tum maa.	So if a person sets fire to the bush, he should seek forgiveness from his lord God, because he has committed a great sin.
Taba bɔbu ka di pa taba kpuɣi kasi puuni nyaaŋa nyɛla alahachi.	The end of mutual desire if it is not in holy matrimony is sin.
N nyɛla alahichilana, amaa n ku lan tum lala yaha.	I am a sinner, but I will not do that again.
O be o ko ka chɛ alahichinima.	She is different from sinners.
Biɛhiŋ kani, Ti Duuma ku chɛ alahichilana tibili darigibu.	There is no doubt about it, The Lord will not cease punishing sinners.
Naawuni zaligubaŋdiba bɛn nyɛ Farisiinim’ ni daa nya ka Yisa minii alahichinima ni farigu deeriba laɣim diri maa.	When God's scribes who were Pharisees saw that Jesus and sinners and tax-collectors were eating together.
O na bɛ puhi lahisari.	He hasn't yet performed the evening prayer.
Lahisari saha paai ya.	It's time for the evening prayer.
O nya alaka pam.	She has experienced a lot of trouble.
Di niŋdiya pakoli kam bee kpibiga alaka.	Do not trouble any widow or orphan.
O tum ma la barina.	She has caused me hardship.
O mali fitiina pam.	She is very troublesome.
A mali muɣisigu pam zuŋo daba ayi.	You disturb a lot these past few days.
Bo nahiŋgu m-bala?	What sort of disturbance is that?
Ka biɛla ka bɛ diri wahala.	They suffer a lot.
ŋun kpa o yɛlli n nyɛri o yɛlli.	He who seeks trouble lands in trouble.
Bɛ niŋ o alaka.	They have punished him.
Muɣisigu bee wahala bee alaka bee finfali bee gbinfin bee barina?	trouble or hardship or persecution or famine or nakedness or danger?
O niŋ alali.	She is cowardly.
Kum gariya ka alali ku gari. (Kum naai ka alali ku naai.)	Hunger has gone away, but regret does not leave. (Hunger has gone away, but regret does not leave.)
ka zaŋ salima alali nam zuɣupiligu pili o.	And make a crown out of pure gold and crown him with it.
n ni ti taɣi niriba yɛltɔɣa ka di leei alali yɛltɔɣa.	I will change people's speech and it will become pure speech.
Doliŋo nyɛ la anzinfa alali.	This is pure silver.
O bia alali.	His legitimate child.
di nyɛla din ni wuhi yi yɛda niŋbu alalitali ni nyɛ shɛm.	it is that which will show how genuine your faith is.
alaamo; alaama; alaamu.	a sign; an indication; an omen.
o yi ŋuhi yuui kaman daba-ayi ka bia maa daalama bi wuhi.	If she groans for a long time, for like two days, and there is no sign of the child.
Zaŋmi mɔrilim maa bee alaama shɛli a ni nya bia maa niŋgbuna ni n wuhi Dɔɣite.	Take the swelling or indication which you have seen on the child's body and show to a Doctor.
Biɛɣukam ni di kalinli m-bɔŋɔ; Atani 12, Atalaata 13, Alaaba 13, Alaamishi 15, Alizumba 7, Asibiri 10, Alahari 8. 	These are the numbers of each day; Monday 12, Tuesday 13, Wednesday 13, Thursday 15, Friday 7, Saturday 10, Sunday 8.
bɛ bi nyari biɛrim; ka bɛ niŋgbuna mali alaafee.	they don't feel pain; and thier bodies are healthy.
Ban mali alaafee bi bɔri dɔɣite naɣila ban biɛra.	those who are healthy don't look for the doctor except for those who are sick.
Lala maa chɛrimi ka bia maa minii o ma zaa mali alaafee.	This ensures that the child and its mother are all healthy.
Di kpala talahi ni a chaŋ n-ti nya dokta (Alaafee tuuntumdi baŋda) saha shɛli kam a yi ti biɛra.	It is necessary for you to go and see a doctor (a health worker) anytime you are sick.
Alaafee yilinima ni ‘kawunsilanim’ ni tooi sɔŋ a ka a nyaŋ tahima yihibu.	Health workers and 'counsellors' can help you to overcome despair.
Bindirigu nyaɣisila alaafeelana noli ni.	Food is sweet in a healthy person's mouth.
Alaafeelana niŋgbuna tulum nyɛla sɛlsius digrii 37.	A healthy person's body temperature is 37 degrees celsius.
